TOKEN,POS,LEMMA,SENTIMENT,SOURCE,SENSE
апатичный,Adj,апатичный,negative,opinion,""
апоплексический,Adj,апоплексический,negative,fact,""
аппетитный,Adj,аппетитный,positive,opinion,""
аристократический,Adj,аристократический,positive,opinion,""
аристократичный,Adj,аристократичный,positive,opinion,""
ароматический,Adj,ароматический,positive,feeling,""
ароматичный,Adj,ароматичный,positive,feeling,""
ароматный,Adj,ароматный,positive,feeling,""
артистический,Adj,артистический,positive,opinion,""
артистичный,Adj,артистичный,positive,opinion,""
архаический,Adj,архаический,negative,opinion,""
архаичный,Adj,архаичный,negative,opinion,""
архиважный,Adj,архиважный,positive,opinion,""
астматический,Adj,астматический,negative,fact,""
атеросклеротический,Adj,атеросклеротический,negative,fact,""
аутсайдерский,Adj,аутсайдерский,negative,opinion,""
аферистский,Adj,аферистский,negative,opinion,""
афигенный,Adj,афигенный,positive,opinion,""
афтершоковый,Adj,афтершоковый,negative,fact,""
бабский,Adj,бабский,negative,opinion,""
балованный,Adj,балованный,negative,opinion,""
банальный,Adj,банальный,negative,opinion,""
бандитский,Adj,бандитский,negative,opinion,""
бандитствующий,Adj,бандитствующий,negative,fact,""
бардачный,Adj,бардачный,negative,opinion,""
бархатистый,Adj,бархатистый,positive,feeling,""
бархатный,Adj,бархатный,neutral,fact,"БАРХАТ"
бархатный,Adj,бархатный,positive,feeling,"БАРХАТНЫЙ НА ОЩУПЬ"
барышнический,Adj,барышнический,negative,opinion,""
басмаческий,Adj,басмаческий,negative,fact,""
бастующий,Adj,бастующий,negative,fact,""
бахвальский,Adj,бахвальский,negative,opinion,""
бацилловый,Adj,бацилловый,negative,fact,""
башковитый,Adj,башковитый,positive,opinion,""
бдительный,Adj,бдительный,positive,opinion,""
беднейший,Adj,беднейший,negative,opinion,""
бедненький,Adj,бедненький,positive,opinion,""
бедный,Adj,бедный,negative,opinion,""
бедняцкий,Adj,бедняцкий,negative,opinion,""
бедственный,Adj,бедственный,negative,opinion,""
безалаберный,Adj,безалаберный,negative,opinion,""
безальтернативный,Adj,безальтернативный,negative,opinion,""
безапелляционный,Adj,безапелляционность,negative,opinion,""
безбедный,Adj,безбедный,positive,opinion,""
безбожный,Adj,безбожный,negative,fact,"АТЕИЗМ"
безбожный,Adj,безбожный,negative,opinion,"БЕССОВЕСТНЫЙ"
безбоязненный,Adj,безбоязненный,positive,opinion,""
безвинный,Adj,безвинный,positive,opinion,""
безвкусный,Adj,безвкусный,negative,feeling,"БЕЗВКУСНЫЙ,ПРЕСНЫЙ"
безвкусный,Adj,безвкусный,negative,opinion,"БЕЗВКУСИЦА,ПЛОХОЙ ВКУС"
безвозбранный,Adj,безвозбранный,positive,opinion,""
безвольный,Adj,безвольный,negative,opinion,""
безвредный,Adj,безвредный,positive,opinion,""
безвременный,Adj,безвременный,negative,opinion,""
безвыходный,Adj,безвыходный,negative,opinion,""
безголовый,Adj,безголовый,negative,opinion,""
безграмотный,Adj,безграмотный,negative,opinion,""
безгреховный,Adj,безгреховный,positive,opinion,""
безгрешный,Adj,безгрешный,positive,opinion,""
бездарный,Adj,бездарный,negative,opinion,""
безденежный,Adj,безденежный,negative,opinion,""
бездеятельный,Adj,бездеятельный,negative,opinion,""
бездоказательный,Adj,бездоказательный,negative,opinion,""
бездомный,Adj,бездомный,negative,fact,""
бездумный,Adj,бездумный,negative,opinion,""
бездушный,Adj,бездушный,negative,opinion,""
безжалостный,Adj,безжалостный,negative,opinion,""
безжизненный,Adj,безжизненный,negative,opinion,""
беззаботный,Adj,беззаботный,positive,opinion,""
беззаконный,Adj,беззаконный,negative,opinion,""
беззастенчивый,Adj,беззастенчивый,negative,opinion,""
беззащитный,Adj,беззащитный,negative,opinion,""
беззлобный,Adj,беззлобный,positive,opinion,""
безликий,Adj,безликий,negative,opinion,""
безмозглый,Adj,безмозглый,negative,opinion,""
безмятежный,Adj,безмятежный,positive,opinion,""
безнадежный,Adj,безнадежный,negative,opinion,""
безнаказанный,Adj,безнаказанный,negative,opinion,""
безобидный,Adj,безобидный,positive,opinion,""
безоблачный,Adj,безоблачный,positive,fact,"БЕЗОБЛАЧНАЯ ПОГОДА"
безоблачный,Adj,безоблачный,positive,opinion,"ИДИЛЛИЯ,БЕЗМЯТЕЖНОЕ СУЩЕСТВОВАНИЕ"
безобразный,Adj,безобразный,negative,opinion,""
безопасный,Adj,безопасный,positive,opinion,""
безосновательный,Adj,безосновательный,negative,opinion,""
безответственный,Adj,безответственный,negative,opinion,""
безотказный,Adj,безотказный,positive,opinion,""
безотрадный,Adj,безотрадный,negative,opinion,""
безошибочный,Adj,безошибочный,positive,opinion,""
безперебойный,Adj,безперебойный,positive,opinion,""
безплатный,Adj,безплатный,positive,fact,""
безрадостный,Adj,безрадостный,negative,opinion,""
безразличный,Adj,безразличный,negative,opinion,""
безрезультативный,Adj,безрезультативный,negative,opinion,""
безрезультатный,Adj,безрезультатный,negative,opinion,""
безрукий,Adj,безрукий,negative,opinion,""
безукоризненный,Adj,безукоризненный,positive,opinion,""
безумный,Adj,безумный,negative,opinion,""
безупречный,Adj,безупречный,positive,opinion,""
безуспешный,Adj,безуспешный,negative,opinion,""
безустанный,Adj,безустанный,positive,opinion,""
безутешный,Adj,безутешный,negative,opinion,""
безучастный,Adj,безучастный,negative,opinion,""
безыскусный,Adj,безыскусный,positive,opinion,""
безыскусственный,Adj,безыскусственный,positive,opinion,""
безысходный,Adj,безысходный,negative,opinion,""
белесый,Adj,белесый,negative,opinion,""
белокровный,Adj,белокровный,negative,fact,""
белоснежный,Adj,белоснежный,positive,feeling,""
бережливый,Adj,бережливый,positive,opinion,""
бережный,Adj,бережный,positive,opinion,""
бескомпромиссный,Adj,бескомпромиссный,positive,opinion,""
бесконтрольный,Adj,бесконтрольный,negative,opinion,""
бескорыстный,Adj,бескорыстный,positive,opinion,""
бескультурный,Adj,бескультурный,negative,opinion,""
беспалевный,Adj,беспалевный,positive,opinion,""
беспамятный,Adj,беспамятный,negative,fact,"БЕССОЗНАТЕЛЬНОЕ СОСТОЯНИЕ"
беспамятный,Adj,беспамятный,negative,opinion,"ЗАБЫВЧИВЫЙ"
беспардонный,Adj,беспардонный,negative,opinion,""
бесперспективный,Adj,бесперспективный,negative,opinion,""
беспечный,Adj,беспечный,negative,opinion,""
бесплатный,Adj,бесплатный,positive,fact,""
бесплодный,Adj,бесплодный,negative,opinion,""
бесподобный,Adj,бесподобный,positive,opinion,""
беспокойный,Adj,беспокойный,negative,feeling,""
бесполезный,Adj,бесполезный,negative,opinion,""
беспомощный,Adj,беспомощный,negative,opinion,""
беспорочный,Adj,беспорочный,positive,opinion,""
беспорядочный,Adj,беспорядочный,negative,opinion,""
беспочвенный,Adj,беспочвенный,negative,opinion,""
беспощадный,Adj,беспощадный,negative,opinion,""
беспрепятственный,Adj,беспрепятственный,positive,opinion,""
беспризорнический,Adj,беспризорнический,negative,opinion,""
беспризорный,Adj,беспризорный,negative,opinion,""
беспринципный,Adj,беспринципный,negative,opinion,""
беспристрастный,Adj,беспристрастный,positive,opinion,""
беспроигрышный,Adj,беспроигрышный,positive,opinion,""
беспросветный,Adj,беспросветный,negative,opinion,""
беспутнический,Adj,беспутнический,negative,opinion,""
беспутный,Adj,беспутный,negative,opinion,""
бессвязный,Adj,бессвязный,negative,opinion,""
бессердечный,Adj,бессердечный,negative,opinion,""
бессильный,Adj,бессильный,negative,feeling,"БЕССИЛИЕ,ФИЗИЧЕСКАЯ СЛАБОСТЬ"
бессильный,Adj,бессильный,negative,opinion,"БЕССИЛИЕ (НЕСПОСОБНОСТЬ)"
бесславный,Adj,бесславный,negative,opinion,""
бессмертный,Adj,бессмертный,positive,fact,"БЕССМЕРТНЫЙ (ЖИВУЩИЙ ВЕЧНО)"
бессмертный,Adj,бессмертный,positive,opinion,"НЕПРЕХОДЯЩИЙ,НЕТЛЕННЫЙ"
бессмысленный,Adj,бессмысленный,negative,opinion,""
бессовестный,Adj,бессовестный,negative,opinion,""
бессодержательный,Adj,бессодержательный,negative,opinion,""
бессонный,Adj,бессонный,negative,fact,""
бесстрашный,Adj,бесстрашный,positive,opinion,""
бесстыдный,Adj,бесстыдный,negative,opinion,""
бессчетный,Adj,бессчетный,neutral,opinion,""
бестактный,Adj,бестактный,negative,opinion,""
бесталанный,Adj,бесталанный,negative,opinion,""
бестолковый,Adj,бестолковый,negative,opinion,""
бесхитростный,Adj,бесхитростный,positive,opinion,""
бесхребетный,Adj,бесхребетный,negative,opinion,""
бесцветный,Adj,бесцветный,negative,opinion,"БЛЕДНЫЙ (НЕВЫРАЗИТЕЛЬНЫЙ)"
бесцветный,Adj,бесцветный,neutral,fact,"БЕСЦВЕТНЫЙ"
бесценный,Adj,бесценный,positive,opinion,""
бесцеремонный,Adj,бесцеремонный,negative,opinion,""
бесчеловечный,Adj,бесчеловечный,negative,opinion,""
бесчестный,Adj,бесчестный,negative,opinion,""
бесчисленный,Adj,бесчисленный,neutral,opinion,""
бесчувственный,Adj,бесчувственный,negative,opinion,""
бешеный,Adj,бешеный,negative,opinion,""
бирючий,Adj,бирючий,negative,opinion,""
битый,Adj,битый,negative,opinion,""
благоверный,Adj,благоверный,positive,opinion,"ПРАВОВЕРНЫЙ,НАБОЖНЫЙ"
благовоспитанный,Adj,благовоспитанный,positive,opinion,""
благоговейный,Adj,благоговейный,positive,feeling,""
благодарный,Adj,благодарный,positive,feeling,""
благодарственный,Adj,благодарственный,positive,feeling,""
благодатный,Adj,благодатный,positive,opinion,""
благодетельный,Adj,благодетельный,positive,opinion,""
благожелательный,Adj,благожелательный,positive,opinion,""
благозвучный,Adj,благозвучный,positive,feeling,""
благой,Adj,благой,positive,opinion,""
благополучный,Adj,благополучный,positive,opinion,""
благопристойный,Adj,благопристойный,positive,opinion,""
благоприятный,Adj,благоприятный,positive,opinion,""
благоразумный,Adj,благоразумный,positive,opinion,""
благородный,Adj,благородный,positive,opinion,""
благосклонный,Adj,благосклонный,positive,opinion,""
благословенный,Adj,благословенный,positive,opinion,""
благотворительный,Adj,благотворительный,positive,fact,""
благотворительский,Adj,благотворительский,positive,fact,""
благотворный,Adj,благотворный,positive,opinion,""
благоустроенный,Adj,благоустроенный,positive,opinion,""
благочестивый,Adj,благочестивый,positive,opinion,""
блатной,Adj,блатной,negative,fact,""
бледноватый,Adj,бледноватый,negative,opinion,""
бледный,Adj,бледный,negative,opinion,"БЛЕДНОСТЬ ЛИЦА"
бледный,Adj,бледный,negative,opinion,"БЛЕДНЫЙ (НЕВЫРАЗИТЕЛЬНЫЙ)"
бледный,Adj,бледный,neutral,opinion,"БЛЕДНЫЙ ПО ОКРАСКЕ"
блеклый,Adj,блеклый,negative,opinion,""
блестящий,Adj,блестящий,positive,opinion,""
блефовый,Adj,блефовый,negative,opinion,""
близорукий,Adj,близорукий,negative,fact,"БЛИЗОРУКОСТЬ"
близорукий,Adj,близорукий,negative,opinion,"БЛИЗОРУКИЙ,НЕДАЛЬНОВИДНЫЙ"
блистательный,Adj,блистательный,positive,opinion,""
блокадный,Adj,блокадный,negative,fact,""
богатенький,Adj,богатенький,negative,opinion,""
богатый,Adj,богатый,positive,opinion,""
богобоязненный,Adj,богобоязненный,positive,opinion,""
богомольный,Adj,богомольный,positive,opinion,""
богохульный,Adj,богохульный,negative,opinion,""
богохульственный,Adj,богохульственный,negative,opinion,""
бодрый,Adj,бодрый,positive,opinion,""
бодряцкий,Adj,бодряцкий,negative,opinion,""
бодряческий,Adj,бодряческий,negative,opinion,""
божеский,Adj,божеский,positive,opinion,""
божественный,Adj,божественный,positive,fact,"БОГ"
божественный,Adj,божественный,positive,opinion,"ПРЕКРАСНЫЙ (ОЧЕНЬ КРАСИВЫЙ)"
бойкий,Adj,бойкий,neutral,opinion,"БОЙКИЙ (ЛЮДНЫЙ)"
бойкий,Adj,бойкий,positive,opinion,"БОЙКИЙ (БЫСТРЫЙ,ЖИВОЙ)"
бойкий,Adj,бойкий,positive,opinion,"БОЙКИЙ (РАСТОРОПНЫЙ)"
болевой,Adj,болевой,negative,feeling,""
болезненный,Adj,болезненный,negative,feeling,"БОЛЬ,БОЛЕВОЕ ОЩУЩЕНИЕ"
болезненный,Adj,болезненный,negative,opinion,"БОЛЕЗНЕННЫЙ (ЧРЕЗМЕРНЫЙ)"
болезненный,Adj,болезненный,negative,opinion,"БОЛЕЗНЕННЫЙ,СЛАБЫЙ ПО ЗДОРОВЬЮ"
болезнетворный,Adj,болезнетворный,negative,fact,""
бомбардировочный,Adj,бомбардировочный,negative,fact,""
бомбежный,Adj,бомбежный,negative,fact,""
бомжеский,Adj,бомжеский,negative,opinion,""
бомжовый,Adj,бомжовый,negative,fact,""
боязливый,Adj,боязливый,negative,feeling,""
бравый,Adj,бравый,positive,opinion,""
браконьерский,Adj,браконьерский,negative,fact,""
бранный,Adj,бранный,negative,opinion,""
братоубийственный,Adj,братоубийственный,negative,fact,""
бредовый,Adj,бредовый,negative,fact,"БРЕД (РАССТРОЙСТВО МЫСЛИТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ)"
бредовый,Adj,бредовый,negative,opinion,"НЕЛЕПЫЙ"
брезгливый,Adj,брезгливый,negative,feeling,""
бродяжий,Adj,бродяжий,negative,opinion,""
бродяжнический,Adj,бродяжнический,negative,opinion,""
бронхитный,Adj,бронхитный,negative,fact,""
бросовый,Adj,бросовый,negative,fact,"ОТХОДЫ"
бросовый,Adj,бросовый,negative,opinion,"БРОСОВЫЙ"
брутальный,Adj,брутальный,positive,opinion,""
брюзгливый,Adj,брюзгливый,negative,opinion,""
бузотерский,Adj,бузотерский,negative,opinion,""
буйный,Adj,буйный,negative,opinion,""
бульварный,Adj,бульварный,negative,opinion,"БУЛЬВАРНАЯ ЛИТЕРАТУРА"
бульварный,Adj,бульварный,neutral,fact,"БУЛЬВАР"
бунтарский,Adj,бунтарский,negative,opinion,""
бунтовщический,Adj,бунтовщический,negative,fact,""
буранный,Adj,буранный,negative,fact,""
бутафорский,Adj,бутафорский,negative,opinion,"ПОКАЗУХА,БУТАФОРИЯ"
бутафорский,Adj,бутафорский,neutral,fact,"БУТАФОР"
буферный,Adj,буферный,neutral,fact,"БУФЕР ТРАНСПОРТНОГО СРЕДСТВА"
буферный,Adj,буферный,positive,opinion,"БУФЕР (РОЛЬ)"
бухой,Adj,бухой/бухий,negative,opinion,""
быстротечный,Adj,быстротечный,negative,opinion,""
бюрократический,Adj,бюрократический,negative,opinion,""
бюрократичный,Adj,бюрократичный,negative,opinion,""
бюрократский,Adj,бюрократский,negative,opinion,""
важный,Adj,важный,positive,opinion,""
валкий,Adj,валкий,negative,opinion,""
вампирный,Adj,вампирный,negative,opinion,""
вампирский,Adj,вампирский,negative,opinion,""
вандалистский,Adj,вандалистский,negative,opinion,""
варварский,Adj,варварский,negative,opinion,""
вареный,Adj,вареный,negative,opinion,"ЗАТОРМОЖЕННЫЙ"
вареный,Adj,вареный,neutral,fact,"ВАРЕНОЕ БЛЮДО"
ваххабистский,Adj,ваххабистский,negative,fact,""
ваххабитский,Adj,ваххабитский,negative,fact ,""
вдохновенный,Adj,вдохновенный,positive,feeling,""
вдумчивый,Adj,вдумчивый,positive,opinion,""
вежливый,Adj,вежливый,positive,opinion,""
везучий,Adj,везучий,positive,opinion,""
велеречивый,Adj,велеречивый,negative,opinion,""
великий,Adj,великий,negative,opinion,"ВЕЛИК ПО РАЗМЕРУ"
великий,Adj,великий,neutral,opinion,"БОЛЬШОЙ ПО РАЗМЕРУ"
великий,Adj,великий,positive,opinion,"ВЫДАЮЩИЙСЯ,ВЕЛИКИЙ"
великодержавный,Adj,великодержавный,negative,opinion,""
великолепный,Adj,великолепный,positive,opinion,""
величавый,Adj,величавый,positive,opinion,""
величественный,Adj,величественный,positive,opinion,""
венерический,Adj,венерический,negative,fact,""
верноподданический,Adj,верноподданический,negative,opinion,""
верноподданный,Adj,верноподданный,positive/negative,opinion,""
верный,Adj,верный,neutral,operator,"ВЕРНЫЙ (НЕИЗБЕЖНЫЙ,НЕСОМНЕННЫЙ)"
верный,Adj,верный,positive,opinion,"ИСТИННЫЙ,ВЕРНЫЙ"
верный,Adj,верный,positive,opinion,"ПРАВИЛЬНЫЙ,СООТВЕТСТВУЮЩИЙ ПРАВИЛАМ"
верный,Adj,верный,positive,opinion,"ПРЕДАННЫЙ"
вероломный,Adj,вероломный,positive,opinion,""
вероотступнический,Adj,вероотступнический,negative,opinion,""
веселенький,Adj,веселенький,positive,opinion,""
веселый,Adj,веселый,positive,opinion,""
веский,Adj,веский,positive,opinion,""
весомый,Adj,весомый,positive,opinion,""
ветреный,Adj,ветреный,negative,fact,"ВЕТРЕНАЯ ПОГОДА"
ветреный,Adj,ветреный,negative,opinion,"ЛЕГКОМЫСЛЕННЫЙ,БЕЗДУМНЫЙ"
ветхий,Adj,ветхий,negative,opinion,""
ветхозаветный,Adj,ветхозаветный,negative,opinion,"УСТАРЕЛЫЙ,НЕСОВРЕМЕННЫЙ"
ветхозаветный,Adj,ветхозаветный,neutral,fact,"ВЕТХИЙ ЗАВЕТ"
взволнованный,Adj,взволнованный,positive/negative,feeling,""
вздорный,Adj,вздорный,negative,opinion,""
взрывной,Adj,взрывной,negative,fact,"ВЗОРВАТЬ,РАЗРУШИТЬ ВЗРЫВОМ"
взрывной,Adj,взрывной,negative,fact,"ВЗРЫВ"
взрывной,Adj,взрывной,negative,opinion,"ВСПЫЛЬЧИВЫЙ,ЗАПАЛЬЧИВЫЙ"
взрывоопасный,Adj,взрывоопасный,negative,opinion,""
взрывчатый,Adj,взрывчатый,negative,opinion,"ВСПЫЛЬЧИВЫЙ,ЗАПАЛЬЧИВЫЙ"
взрывчатый,Adj,взрывчатый,neutral,fact,"ВЗРЫВЧАТОЕ ВЕЩЕСТВО"
взыскательный,Adj,взыскательный,positive,opinion,""
взятнический,Adj,взятнический,negative,fact,""
видимый,Adj,видимый,negative,opinion,"ВНЕШНИЙ (ПОВЕРХНОСТНЫЙ)"
видимый,Adj,видимый,neutral,fact,"ВИДИМЫЙ (ЗАМЕТНЫЙ,ОЧЕВИДНЫЙ)"
видимый,Adj,видимый,neutral,fact,"ВИДИМЫЙ,ДОСТУПНЫЙ ЗРЕНИЮ"
видный,Adj,видный,positive,opinion,""
виноватый,Adj,виноватый,negative,opinion,""
виновный,Adj,виновный,negative,opinion,""
винтажный,Adj,винтажный,positive,fact,""
виртуозный,Adj,виртуозный,positive,opinion,""
вирусный,Adj,вирусный,negative,fact ,""
вкрадчивый,Adj,вкрадчивый,negative,opinion,""
вкусненький,Adj,вкусненький,positive,feeling,""
вкусный,Adj,вкусный,positive,feeling,""
властный,Adj,властный,neutral,fact,"ВЛАСТЬ,БРАЗДЫ ПРАВЛЕНИЯ"
властный,Adj,властный,positive/negative,opinion,"ВЛАСТНЫЙ,АВТОРИТАРНЫЙ"
властолюбивый,Adj,властолюбивый,negative,opinion,""
влюбленный,Adj,влюбленный,positive,feeling,""
вменяемый,Adj,вменяемый,positive,opinion,""
вместительный,Adj,вместительный,positive,opinion,""
внешний,Adj,внешний,negative,opinion,"ВНЕШНИЙ (ПОВЕРХНОСТНЫЙ)"
внешний,Adj,внешний,neutral,fact,"ВНЕШНИЙ,НАРУЖНЫЙ"
внимательнейший,Adj,внимательнейший,positive,opinion,""
внимательный,Adj,внимательный,positive,opinion,""
внушительный,Adj,внушительный,neutral,opinion,"ВНУШИТЕЛЬНЫЙ ПО РАЗМЕРУ"
внушительный,Adj,внушительный,positive,opinion,"ПРЕДСТАВИТЕЛЬНЫЙ,ПРЕЗЕНТАБЕЛЬНЫЙ"
внятный,Adj,внятный,positive,opinion,""
вожделенный,Adj,вожделенный,positive,opinion,""
возбудимый,Adj,возбудимый,negative,opinion,""
возбужденный,Adj,возбужденный,negative,opinion,""
возвышенный,Adj,возвышенный,positive,opinion,""
возмутительный,Adj,возмутительный,negative,opinion,""
воинствующий,Adj,воинствующий,negative,opinion,""
волевой,Adj,волевой,positive,opinion,""
волнительный,Adj,волнительный,positive/negative,feeling,""
волокитный,Adj,волокитный,negative,opinion,""
волшебный,Adj,волшебный,positive,opinion,""
вольготный,Adj,вольготный,positive,opinion,""
вольный,Adj,вольный,negative,opinion,"ВОЛЬНЫЙ (НЕТОЧНЫЙ)"
вольный,Adj,вольный,positive,opinion,"НЕПРИНУЖДЕННЫЙ"
вольный,Adj,вольный,positive,opinion,"СВОБОДНЫЙ (НИЧЕМ НЕ СТЕСНЕННЫЙ)"
волюнтаристический,Adj,волюнтаристический,negative,opinion,""
волюнтаристский,Adj,волюнтаристский,negative,opinion,""
вонючий,Adj,вонючий,negative,feeling,""
вопиющий,Adj,вопиющий,negative,opinion,""
воровской,Adj,воровской,negative,opinion,""
ворчливый,Adj,ворчливый,negative,opinion,""
воспаленный,Adj,воспаленный,negative,fact,"ВОСПАЛЕННЫЙ,ВОСПАЛИВШИЙСЯ"
воспаленный,Adj,воспаленный,negative,opinion,"ВОЗБУЖДЕННЫЙ"
воспалительный,Adj,воспалительный,negative,fact,""
воспитанный,Adj,воспитанный,positive,opinion,""
восторженный,Adj,восторженный,positive,opinion,""
востребованный,Adj,востребованный,positive,opinion,""
восхитительный,Adj,восхитительный,positive,opinion,""
впечатляющий,Adj,впечатляющий,positive,opinion,""
враждебный,Adj,враждебный,negative,opinion,""
вражеский,Adj,вражеский,negative,opinion,""
вражий,Adj,вражий,negative,opinion,""
вразумительный,Adj,вразумительный,positive,opinion,""
вредительский,Adj,вредительский,negative,fact,""
вредный,Adj,вредный,negative,opinion,""
вредоносный,Adj,вредоносный,negative,opinion,""
вседозволенный,Adj,вседозволенный,negative,opinion,""
всеисцеляющий,Adj,всеисцеляющий,negative,opinion,""
всемогущий,Adj,всемогущий,positive,opinion,""
всесильный,Adj,всесильный,positive,opinion,""
вспыльчивый,Adj,вспыльчивый,negative,opinion,""
встревоженный,Adj,встревоженный,negative,feeling,""
второстепенный,Adj,второстепенный,negative,opinion,""
вульгарный,Adj,вульгарный,negative,opinion,""
вчерашний,Adj,вчерашний,negative,opinion,""
въедливый,Adj,въедливый,negative,fact,"ВЪЕСТЬСЯ"
въедливый,Adj,въедливый,negative,opinion,"ВЪЕДЛИВЫЙ,ДОТОШНЫЙ"
въедчивый,Adj,въедчивый,negative,opinion,""
выгодный,Adj,выгодный,positive,opinion,""
выдающийся,Adj,видный,positive,opinion,""
выигрышный,Adj,выигрышный,positive,opinion,""
вымогательский,Adj,вымогательский,negative,opinion,""
выносливый,Adj,выносливый,positive,opinion,""
выполнимый,Adj,выполнимый,positive,opinion,""
выразительный,Adj,выразительный,positive,opinion,""
высокогуманный,Adj,высокогуманный,positive,opinion,""
высококачественный,Adj,высококачественный,positive,opinion,""
высококлассный,Adj,высококлассный,positive,opinion,""
высокомерный,Adj,высокомерный,negative,opinion,""
высокоморальный,Adj,высокоморальный,positive,opinion,""
высоконравственный,Adj,высоконравственный,positive,opinion,""
высокоодаренный,Adj,высокоодаренный,positive,opinion,""
высокопарный,Adj,высокопарный,negative,opinion,""
высокоперспективный,Adj,высокоперспективный,positive,opinion,""
высокопорядочный,Adj,высокопорядочный,positive,opinion,""
высокопрофессиональный,Adj,высокопрофессиональный,positive,opinion,""
высокопрочный,Adj,высокопрочный,positive,opinion,""
высокосортный,Adj,высокосортный,positive,opinion,""
высокотоксичный,Adj,высокотоксичный,negative,opinion,""
высокочтимый,Adj,высокочтимый,positive,opinion,""
высокоэффективный,Adj,высокоэффективный,positive,opinion,""
выспренний,Adj,выспренний,negative,opinion,""
вычурный,Adj,вычурный,negative,opinion,""
вяловатый,Adj,вяловатый,negative,opinion,""
вялый,Adj,вялый,negative,opinion,""
гадкий,Adj,гадкий,negative,opinion,""
гадливый,Adj,гадливый,negative,feeling,""
гадостный,Adj,гадостный,negative,opinion,""
гайморитный,Adj,гайморитный,negative,fact,""
галантный,Adj,галантный,positive,opinion,""
галимый,Adj,галимый,negative,opinion,""
галлюцинаторный,Adj,галлюцинаторный,negative,feeling,""
гангренозный,Adj,гангренозный,negative,fact,""
гангстерский,Adj,гангстерский,negative,fact,""
гармоничный,Adj,гармоничный,positive,opinion,""
гастритный,Adj,гастритный,negative,fact,""
гастрический,Adj,гастрический,negative,fact,""
геморрагический,Adj,геморрагический,negative,fact,""
гениальный,Adj,гениальный,positive,opinion,""
геноцидный,Adj,геноцидный,negative,fact,""
гепатитный,Adj,гепатитный,negative,fact,""
геройский,Adj,геройский,positive,opinion,""
героический,Adj,героический,positive,opinion,""
героичный,Adj,героичный,positive,opinion,""
